"sku","product_name","brand","category_l1","category_l2","sale_price_cad","cost_price_cad","inventory_qty","safety_stock","status","tax_class","weight_kg","lead_time_days","is_featured"
"ELE-0019","Power Bank 20000mAh","RidgeLine Digital","Electronics","Power","89.99","43.6","44","8","ACTIVE","STANDARD","0.41","7","False"
"ELE-0020","Mesh Wi-Fi Extender","SnowArc","Electronics","Networking","149.99","88.1","23","5","ACTIVE","STANDARD","0.29","9","False"
"HOM-0021","Air Purifier Medium Room","CedarHaus","Home","Air Care","219.99","134.5","27","5","ACTIVE","STANDARD","4.8","11","True"
"HOM-0022","Ceramic Dinnerware Set","NorthHarbor Living","Home","Dining","109.99","52.4","34","6","ACTIVE","STANDARD","6.2","10","False"
"HOM-0023","Vacuum Insulated Bottle","PrairieNest","Home","Kitchenware","34.99","13.8","78","12","ACTIVE","STANDARD","0.31","5","False"
"HOM-0024","Linen Sheet Set Queen","Lakefield Home","Home","Bedding","149.99","82","22","5","ACTIVE","STANDARD","1.86","9","True"
"HOM-0025","Modular Storage Bin Set","Birch and Beam","Home","Organization","59.99","24.3","49","8","ACTIVE","STANDARD","1.92","6","False"
"HOM-0026","Digital Kitchen Scale","CedarHaus","Home","Kitchenware","39.99","15.6","61","10","ACTIVE","STANDARD","0.48","5","False"
"HOM-0027","Pour Over Coffee Grinder","NorthHarbor Living","Home","Coffee","89.99","41.2","25","5","ACTIVE","STANDARD","1.08","8","True"
"HOM-0028","Electric Kettle 1.7L","PrairieNest","Home","Kitchen Appliances","79.99","36.7","38","7","ACTIVE","STANDARD","1.22","6","False"
"HOM-0029","Bamboo Cutting Board","Lakefield Home","Home","Kitchenware","29.99","10.9","72","10","ACTIVE","STANDARD","0.95","4","False"
"HOM-0030","Shower Caddy Organizer","Birch and Beam","Home","Bathroom","44.99","17.3","57","9","ACTIVE","STANDARD","0.87","5","False"
"HOM-0031","Memory Foam Pillow","CedarHaus","Home","Bedding","54.99","24.1","43","8","ACTIVE","STANDARD","0.98","6","False"
"HOM-0032","Wool Throw Blanket","NorthHarbor Living","Home","Decor","94.99","48.5","18","4","ACTIVE","STANDARD","1.14","9","True"
"HOM-0033","Laundry Hamper Foldable","PrairieNest","Home","Organization","39.99","14.8","53","8","ACTIVE","STANDARD","0.76","5","False"
"HOM-0034","Stick Vacuum Lite","Lakefield Home","Home","Cleaning","199.99","121","16","4","ACTIVE","STANDARD","2.9","12","True"
"HOM-0035","Indoor Plant Stand","Birch and Beam","Home","Decor","69.99","29.9","29","6","ACTIVE","STANDARD","2.11","7","False"
"HOM-0036","Blackout Curtain Panel","CedarHaus","Home","Decor","49.99","20.5","45","8","ACTIVE","STANDARD","0.84","6","False"
"HOM-0037","Entryway Shoe Rack","NorthHarbor Living","Home","Organization","84.99","39.7","20","5","ACTIVE","STANDARD","4.4","9","False"
"HOM-0038","Stainless Steel Frying Pan","PrairieNest","Home","Cookware","64.99","30.1","40","7","ACTIVE","STANDARD","1.32","7","False"
"HOM-0039","Food Container Set","Lakefield Home","Home","Kitchenware","42.99","16.8","67","10","ACTIVE","STANDARD","1.04","5","False"
"HOM-0040","Scented Soy Candle","Birch and Beam","Home","Decor","24.99","8.4","81","12","ACTIVE","STANDARD","0.36","4","False"
"SPO-0041","High Density Yoga Mat","SummitTrail","Sports","Yoga","49.99","20.6","64","10","ACTIVE","STANDARD","1.15","5","True"
"SPO-0042","Resistance Bands Kit","MotionNorth","Sports","Strength Training","39.99","14.8","71","12","ACTIVE","STANDARD","0.72","5","False"
"SPO-0043","Adjustable Dumbbell Pair","PeakForm","Sports","Strength Training","299.99","184.2","14","4","ACTIVE","STANDARD","24","12","True"
"SPO-0044","Foam Roller Recovery","PineRidge Active","Sports","Recovery","34.99","12.7","58","9","ACTIVE","STANDARD","0.86","4","False"
"SPO-0045","Running Hydration Belt","IronVale","Sports","Running","29.99","10.9","49","8","ACTIVE","STANDARD","0.21","5","False"
"SPO-0046","Stainless Water Bottle","SummitTrail","Sports","Running","27.99","9.8","84","12","ACTIVE","STANDARD","0.29","4","False"
"SPO-0047","Indoor Cycling Gloves","MotionNorth","Sports","Cycling","32.99","11.4","36","7","ACTIVE","STANDARD","0.14","5","False"
"SPO-0048","Jump Rope Speed","PeakForm","Sports","Cardio","19.99","6.5","93","14","ACTIVE","STANDARD","0.18","4","False"
"SPO-0049","Massage Gun Compact","PineRidge Active","Sports","Recovery","159.99","87.9","22","5","ACTIVE","STANDARD","0.91","8","True"
"SPO-0050","Trail Daypack 18L","IronVale","Sports","Outdoor","89.99","41.8","31","6","ACTIVE","STANDARD","0.74","7","False"
"SPO-0051","Golf Ball Sleeve Pack","SummitTrail","Sports","Golf","24.99","8.9","55","8","ACTIVE","STANDARD","0.28","5","False"
"SPO-0052","Pickleball Paddle Set","MotionNorth","Sports","Racquet Sports","99.99","52.3","26","5","ACTIVE","STANDARD","0.88","7","True"
"SPO-0053","Compression Knee Sleeve","PeakForm","Sports","Support Gear","21.99","7.8","62","10","ACTIVE","STANDARD","0.12","4","False"
"SPO-0054","Training Cone Set","PineRidge Active","Sports","Team Training","26.99","9.2","77","12","ACTIVE","STANDARD","0.64","4","False"
"SPO-0055","Agility Ladder Pro","IronVale","Sports","Team Training","44.99","18.6","47","8","ACTIVE","STANDARD","0.72","5","False"
"SPO-0056","Camping Headlamp","SummitTrail","Sports","Outdoor","36.99","14.5","52","8","ACTIVE","STANDARD","0.16","5","False"
"SPO-0057","Trekking Pole Pair","MotionNorth","Sports","Outdoor","74.99","33.2","18","4","ACTIVE","STANDARD","0.96","8","False"
"SPO-0058","Fitness Tracker Strap","PeakForm","Sports","Wearable Accessories","17.99","5.4","89","12","ACTIVE","STANDARD","0.05","4","False"
"SPO-0059","Cooling Towel Pack","PineRidge Active","Sports","Recovery","18.99","6.2","66","10","ACTIVE","STANDARD","0.11","4","False"
"SPO-0060","Soccer Shin Guard Set","IronVale","Sports","Team Sports","28.99","10.3","42","7","ACTIVE","STANDARD","0.24","5","False"
"CLO-0061","Unisex Pullover Hoodie","HarborThread","Clothing","Sweatshirts","69.99","28.5","54","8","ACTIVE","STANDARD","0.72","6","True"
"CLO-0062","Performance Crew T-Shirt","WinterMaple","Clothing","Tops","29.99","9.8","92","14","ACTIVE","STANDARD","0.18","4","False"
"CLO-0063","Insulated Winter Jacket","NorthWeave","Clothing","Outerwear","189.99","91.4","23","5","ACTIVE","STANDARD","1.34","9","True"
"CLO-0064","Stretch Chino Pant","CedarLane Apparel","Clothing","Bottoms","74.99","31.1","41","7","ACTIVE","STANDARD","0.46","6","False"
"CLO-0065","Fleece Jogger Pant","Meridian Wear","Clothing","Bottoms","54.99","22.4","38","7","ACTIVE","STANDARD","0.41","5","False"
"CLO-0066","Merino Beanie","HarborThread","Clothing","Accessories","24.99","8.6","70","10","ACTIVE","STANDARD","0.09","4","False"
"CLO-0067","Quilted Vest","WinterMaple","Clothing","Outerwear","99.99","46.2","27","5","ACTIVE","STANDARD","0.58","7","False"
"CLO-0068","Cotton Oxford Shirt","NorthWeave","Clothing","Tops","64.99","25.3","36","6","ACTIVE","STANDARD","0.33","6","False"
"CLO-0069","Womens Training Legging","CedarLane Apparel","Clothing","Activewear","59.99","24.8","47","8","ACTIVE","STANDARD","0.24","5","True"
"CLO-0070","Mens Performance Polo","Meridian Wear","Clothing","Tops","49.99","19.2","52","8","ACTIVE","STANDARD","0.22","5","False"
"CLO-0071","Rain Shell Jacket","HarborThread","Clothing","Outerwear","149.99","72.6","19","4","ACTIVE","STANDARD","0.66","8","True"
"CLO-0072","Thermal Base Layer Top","WinterMaple","Clothing","Base Layers","44.99","16.9","33","6","ACTIVE","STANDARD","0.19","5","False"
"CLO-0073","Denim Work Shirt","NorthWeave","Clothing","Tops","69.99","29.7","25","5","ACTIVE","STANDARD","0.48","6","False"
"CLO-0074","Knit Sweater Crew","CedarLane Apparel","Clothing","Sweaters","79.99","34.8","29","5","ACTIVE","STANDARD","0.43","6","False"
"CLO-0075","Casual Canvas Shorts","Meridian Wear","Clothing","Bottoms","39.99","14.2","61","9","ACTIVE","STANDARD","0.23","5","False"
"CLO-0076","Everyday Zip Hoodie","HarborThread","Clothing","Sweatshirts","74.99","30.1","32","6","ACTIVE","STANDARD","0.68","6","False"
"CLO-0077","Soft Lounge Set","WinterMaple","Clothing","Loungewear","89.99","38.6","21","5","ACTIVE","STANDARD","0.51","7","False"
"CLO-0078","Down Hybrid Parka","NorthWeave","Clothing","Outerwear","229.99","118.2","11","3","ACTIVE","STANDARD","1.52","11","True"
"CLO-0079","Travel Compression Socks","CedarLane Apparel","Clothing","Accessories","19.99","6.1","73","10","ACTIVE","STANDARD","0.07","4","False"
"CLO-0080","Classic Baseball Cap","Meridian Wear","Clothing","Accessories","27.99","9.4","68","10","ACTIVE","STANDARD","0.12","4","False"
"BOO-0081","Applied Inventory Planning","NorthPeak Press","Books","Operations","49.99","17.5","34","6","ACTIVE","BOOK","0.42","5","True"
"BOO-0082","Practical Spring Commerce Architecture","Commerce Field Notes","Books","Technology","59.99","21.4","29","5","ACTIVE","BOOK","0.56","6","True"
"BOO-0083","Operations Metrics for Retail Teams","Redwood Learning","Books","Operations","44.99","15.9","37","6","ACTIVE","BOOK","0.39","5","False"
"BOO-0084","Customer Service Playbook for E-Commerce","Atlas Desk Editions","Books","Customer Support","39.99","13.7","42","7","ACTIVE","BOOK","0.35","5","False"
"BOO-0085","Frontend Systems for Product Teams","Maple Ledger Press","Books","Technology","54.99","19.8","25","5","ACTIVE","BOOK","0.48","6","False"
"BOO-0086","Warehouse Basics for Retail Managers","NorthPeak Press","Books","Operations","42.99","15.2","31","6","ACTIVE","BOOK","0.41","5","False"
"BOO-0087","Tax and Checkout Configuration Handbook","Commerce Field Notes","Books","Finance","57.99","20.6","18","4","ACTIVE","BOOK","0.51","6","False"
"BOO-0088","Merchandising Calendar Workbook","Redwood Learning","Books","Merchandising","36.99","12.8","28","5","ACTIVE","BOOK","0.33","5","False"
"BOO-0089","Secure API Design Guide","Atlas Desk Editions","Books","Technology","61.99","22.4","24","5","ACTIVE","BOOK","0.57","6","True"
"BOO-0090","Order Operations Field Manual","Maple Ledger Press","Books","Operations","45.99","16.3","26","5","ACTIVE","BOOK","0.44","5","False"
"BOO-0091","Search Relevance for Online Stores","NorthPeak Press","Books","Merchandising","52.99","18.9","17","4","ACTIVE","BOOK","0.49","6","False"
"BOO-0092","Growth Reporting Essentials","Commerce Field Notes","Books","Analytics","47.99","16.7","21","4","ACTIVE","BOOK","0.38","5","False"
"BOO-0093","Product Data Governance Handbook","Redwood Learning","Books","Data Management","58.99","21.1","19","4","ACTIVE","BOOK","0.54","6","True"
"BOO-0094","Incident Response for SaaS Teams","Atlas Desk Editions","Books","Technology","63.99","23.5","16","4","ACTIVE","BOOK","0.58","6","False"
"BOO-0095","Retail Forecasting Made Practical","Maple Ledger Press","Books","Analytics","51.99","18.2","23","5","ACTIVE","BOOK","0.46","5","False"
"BOO-0096","Digital Catalog Writing Guide","NorthPeak Press","Books","Merchandising","34.99","11.9","27","5","ACTIVE","BOOK","0.31","5","False"
"BOO-0097","Team Lead Handbook for Support Ops","Commerce Field Notes","Books","Customer Support","43.99","15.1","22","4","ACTIVE","BOOK","0.37","5","False"
"BOO-0098","Payment Flow Design Patterns","Redwood Learning","Books","Finance","56.99","20.2","15","4","ACTIVE","BOOK","0.52","6","True"
"BOO-0099","Testing Strategy for Commerce Platforms","Atlas Desk Editions","Books","Technology","59.99","21.8","18","4","ACTIVE","BOOK","0.55","6","True"
"BOO-0100","Release Management for Web Products","Maple Ledger Press","Books","Delivery","48.99","17.4","20","4","ACTIVE","BOOK","0.43","5","False"
